"legacy_id","proposal_id","professional_status_type","affiliation_name","country","domestic"
"AH941",,"All Others","St. Paul's School","United States","TRUE"
"AH971",,"All Others","National Astronomical Observatory of Japan","Japan","FALSE"
"AH976",,"Graduate Student","Stanford University","United States","TRUE"
"AH977",,"All Others","National Astronomical Observatory of Japan","Japan","FALSE"
"AH979",,"All Others","National Astronomical Observatory of Japan","Japan","FALSE"
"AH980",,"All Others","Sweet Briar College","United States","TRUE"
"AH981",,"All Others","Shanghai Astronomical Observatory","China","FALSE"
"AH982",,"All Others","Hertfordshire, University of","United Kingdom","FALSE"
"AH984",,"All Others","Jet Propulsion Laboratory","United States","TRUE"
"AH988",,"Graduate Student","Wisconsin at Madison, University of","United States","TRUE"
"AH991",,"All Others","Leeds, University of","United Kingdom","FALSE"
"AH993",,"Graduate Student","Galway, National University of Ireland","Ireland","FALSE"
"AI127",,"All Others","UK Astronomy Technology Centre","Scotland","FALSE"
"AI128",,"All Others","Queen's University","United States","TRUE"
"AI129",,"All Others","Edinburgh, University of","Scotland","FALSE"
"AI130",,"All Others","National Radio Astronomy Observatory","United States","TRUE"
"AI132",,"All Others","Edinburgh, University of","Scotland","FALSE"
"AI136",,"All Others","Edinburgh, University of","Scotland","FALSE"
"AI137",,"All Others","Edinburgh, University of","Scotland","FALSE"
"AI138",,"All Others","Edinburgh, University of","Scotland","FALSE"
"AJ352",,"All Others","Boston University","United States","TRUE"
"AJ355",,"All Others","Commissariat a l'Energie Atomique","France","FALSE"
"AJ356",,"All Others","Leeds, University of","United Kingdom","FALSE"
"AJ357",,"Graduate Student","Iowa, University of","United States","TRUE"
"AJ359",,"Graduate Student","Iowa, University of","United States","TRUE"
"AK634",,"All Others","California Institute of Technology","United States","TRUE"
"AK681",,"All Others","California Institute of Technology","United States","TRUE"
"AK706",,"All Others","California Institute of Technology","United States","TRUE"
"AK709",,"All Others","Southampton, University of","France","FALSE"
"AK712",,"All Others","Universitat Bonn","Germany","FALSE"
"AK713",,"All Others","West Virginia University","United States","TRUE"
"AK717",,"NRAO Staff","National Radio Astronomy Observatory","United States","TRUE"
"AK720",,"All Others","National Radio Astronomy Observatory","United States","TRUE"
"AK722",,"All Others","National Radio Astronomy Observatory","United States","TRUE"
"AL727",,"All Others","European Southern Observatory","Germany","FALSE"
"AL728",,"All Others","Mexico, Universidad Nacional Autonoma de","Mexico","FALSE"
"AL730",,"All Others","Tasmania, University of","Australia","FALSE"
"AL731",,"All Others","Max-Planck-Institut fur Astronomie","Germany","FALSE"
"AL732",,"Graduate Student","institute of astronomy and astrophysics",,"FALSE"
"AL735",,"All Others","Max-Planck-Institut fur Astronomie","Germany","FALSE"
"AL736",,"All Others","Iowa, University of","United States","TRUE"
"AL738",,"All Others","Israel Institute of Technology","Israel","FALSE"
"AL739",,"All Others","Israel Institute of Technology","Israel","FALSE"
"AL741",,"Graduate Student","institute of astronomy and astrophysics",,"FALSE"
"AL742",,"Graduate Student","New Mexico Institute of Mining and Technology","United States","TRUE"
"AM938",,"All Others","Universitat Bonn","Germany","FALSE"
"AM941",,"All Others","National Radio Astronomy Observatory","United States","TRUE"
"AM942",,"All Others","Ohio State University","United States","TRUE"
"AM952",,"All Others","Michigan at Ann Arbor, University of","United States","TRUE"
"AM962",,"All Others","University of Waterloo","Canada","FALSE"
"AM963",,"All Others","Kyoto University","Japan","FALSE"
"AM965",,"All Others","California at San Diego, University of","United States","TRUE"
"AM966",,"All Others","National Radio Astronomy Observatory","United States","TRUE"
"AM967",,"Graduate Student","California at Los Angeles, University of","United States","TRUE"
"AM969",,"NRAO Staff","National Radio Astronomy Observatory","United States","TRUE"
"AM970",,"NRAO Staff","National Radio Astronomy Observatory","United States","TRUE"
"AM971",,"All Others","National Radio Astronomy Observatory","United States","TRUE"
"AM974",,"All Others","Consejo Superior de Investigaciones","Spain","FALSE"
"AM975",,"All Others","National Astronomy and Ionosphere Center","United States","TRUE"
"AM978",,"Graduate Student","California at Los Angeles, University of","United States","TRUE"
"AM979",,"All Others",,"United States","TRUE"
"AM981",,"Graduate Student","Andalucia, Instituto de Astrofisica de","Spain","FALSE"
"AM982",,"All Others","Max-Planck-Institut fur Radioastronomie","Germany","FALSE"
"AM984",,"All Others","Istituto di Radioastronomia, Bologna Institute","Italy","FALSE"
"AM985",,"All Others","New Mexico Institute of Mining and Technology","United States","TRUE"
"AM986",,"All Others","National Radio Astronomy Observatory","United States","TRUE"
"AM987",,"Graduate Student","California at Los Angeles, University of","United States","TRUE"
"AM988",,"All Others","National Radio Astronomy Observatory","United States","TRUE"
"AM989",,"All Others","Spitzer Science Center/Caltech","United States","TRUE"
"AM990",,"Graduate Student","Barcelona, Universidad de","Spain","FALSE"
"AM991",,"All Others","National Radio Astronomy Observatory","United States","TRUE"
"AM992",,"NRAO Staff","National Radio Astronomy Observatory","United States","TRUE"
"AM993",,"Graduate Student","Columbia University","United States","TRUE"
"AM994",,"Graduate Student","Andalucia, Instituto de Astrofisica de","Spain","FALSE"
"AO230",,"All Others","Rochester Institute of Technology","United States","TRUE"
"AO240",,"Graduate Student","University College Cork","Ireland","FALSE"
"AO242",,"Graduate Student","Israel Institute of Technology","Israel","FALSE"
"AO246",,"All Others","Maryland, University of","United States","TRUE"
"AO249",,"Graduate Student","Israel Institute of Technology","Israel","FALSE"
"AO252",,"All Others","Andalucia, Instituto de Astrofisica de","Spain","FALSE"
"AO253",,"All Others","Space Telescope Science Institute","United States","TRUE"
"AP463",,"All Others","Australia Telescope National Facility","Australia","FALSE"
"AP559",,"All Others","Max-Planck-Institut fur Radioastronomie","Germany","FALSE"
"AP563",,"All Others","Istituto Nazionale di Astrofisica","Italy","FALSE"
"AP569",,"Graduate Student","Iowa, University of","United States","TRUE"
"AP570",,"All Others","Haverford College","United States","TRUE"
"AP571",,"Graduate Student","Hertfordshire, University of","United Kingdom","FALSE"
"AP572",,"All Others","New Mexico, University of","United States","TRUE"
"AQ021",,"Graduate Student",,"United Kingdom","FALSE"
"AR664",,"Graduate Student","New Mexico Institute of Mining and Technology","United States","TRUE"
"AR677",,"All Others","Harvard-Smithsonian Center for Astrophysics","United States","TRUE"
"AR678",,"All Others","Harvard-Smithsonian Center for Astrophysics","United States","TRUE"
"AR679",,"All Others","Harvard-Smithsonian Center for Astrophysics","United States","TRUE"
"AR680",,"All Others","Mexico, Universidad Nacional Autonoma de","Mexico","FALSE"
"AR681",,"All Others",,"United States","TRUE"
"AR682",,"All Others","Leiden, University of","Netherlands","FALSE"
"AR683",,"All Others","California Institute of Technology","United States","TRUE"
"AR685",,"All Others","Drexel University","United States","TRUE"
"AR686",,"All Others","New Mexico, University of","United States","TRUE"
"AR687",,"Graduate Student","Max-Planck-Institut fur Radioastronomie","Germany","FALSE"
"AR688",,"All Others","Mexico, Universidad Nacional Autonoma de","Mexico","FALSE"
"AR690",,"All Others","Leiden, University of","Netherlands","FALSE"
"AR691",,"Graduate Student","European Southern Observatory","Germany","FALSE"
"AR692",,"All Others","California Institute of Technology","United States","TRUE"
"AR693",,"All Others","California Institute of Technology","United States","TRUE"
"AR694",,"All Others","Mexico, Universidad Nacional Autonoma de","Mexico","FALSE"
"AR698",,"Graduate Student","European Southern Observatory","Germany","FALSE"
"AS1000",,"All Others","DePaul University","United States","TRUE"
"AS1001",,"All Others","Princeton University","United States","TRUE"
"AS1002",,"All Others","Princeton University","United States","TRUE"
"AS929",,"All Others","Princeton University","United States","TRUE"
"AS952",,"All Others","California Institute of Technology","United States","TRUE"
"AS955",,"Graduate Student","Netherlands Foundation for Research in Astronomy","Netherlands","FALSE"
"AS956",,"All Others","University of Zurich",,"FALSE"
"AS959",,"NRAO Staff","National Radio Astronomy Observatory","United States","TRUE"
"AS961",,"All Others","Marquette University","United States","TRUE"
"AS962",,"All Others","Marquette University","United States","TRUE"
"AS963",,"All Others","Unknown","United States","TRUE"
"AS967",,"Graduate Student","Leeds, University of","United Kingdom","FALSE"
"AS968",,"Graduate Student","Universitat Bonn","Germany","FALSE"
"AS969",,"Graduate Student","Columbia University","United States","TRUE"
"AS971",,"Graduate Student","Leeds, University of","United Kingdom","FALSE"
"AS976",,"All Others","East Tennessee State University",,"FALSE"
"AS977",,"Graduate Student","Columbia University","United States","TRUE"
"AS978",,"All Others","Istituto di Radioastronomia, Bologna Institute","Italy","FALSE"
"AS979",,"All Others","DePaul University","United States","TRUE"
"AS980",,"All Others","Jet Propulsion Laboratory","United States","TRUE"
"AS981",,"Graduate Student","Barcelona, Universidad de","Spain","FALSE"
"AS982",,"Graduate Student","Rutgers, The State University of New Jersey","United States","TRUE"
"AS983",,"All Others","Princeton University","United States","TRUE"
"AS984",,"Graduate Student","Barcelona, Universidad de","Spain","FALSE"
"AS985",,"All Others","Southwest Research Institute",,"FALSE"
"AS986",,"Graduate Student","Agnes Scott College","United States","TRUE"
"AS987",,"NRAO Staff","National Radio Astronomy Observatory","United States","TRUE"
"AS988",,"All Others","Marquette University","United States","TRUE"
"AS996",,"Graduate Student","Leeds, University of","United Kingdom","FALSE"
"AT368",,"Graduate Student","Mexico, Universidad Nacional Autonoma de","Mexico","FALSE"
"AT369",,"All Others","New Mexico, University of","United States","TRUE"
"AT370",,"All Others","Johns Hopkins University","United States","TRUE"
"AT371",,"All Others","European Southern Observatory","Germany","FALSE"
"AU125",,"All Others","Istituto Nazionale di Astrofisica","Italy","FALSE"
"AU126",,"NRAO Staff","National Radio Astronomy Observatory","United States","TRUE"
"AV305",,"Graduate Student","Leiden, University of","Netherlands","FALSE"
"AV307",,"Graduate Student","Universitat Bonn","Germany","FALSE"
"AV308",,"All Others","Toronto, University of","Canada","FALSE"
"AV309",,"All Others","Universitat Bonn","Germany","FALSE"
"AV310",,"Graduate Student","Kapteyn Astronomical Institute","Netherlands","FALSE"
"AV312",,"Graduate Student","Leiden, University of","Netherlands","FALSE"
"AV313",,"All Others","Columbia University","United States","TRUE"
"AW741",,"All Others","Universitat Bonn","Germany","FALSE"
"AW743",,"All Others","Bristol, University of","United Kingdom","FALSE"
"AW744",,"All Others","Edinburgh, University of","Scotland","FALSE"
"AW745",,"Graduate Student","Peking University","China","FALSE"
"AW746",,"NRAO Staff","National Radio Astronomy Observatory","United States","TRUE"
"AW748",,"All Others","Brandeis University","United States","TRUE"
"AW753",,"Graduate Student","Peking University","China","FALSE"
"AW755",,"Graduate Student","Virginia, University of","United States","TRUE"
"AW760",,"Graduate Student","Harvard-Smithsonian Center for Astrophysics",,"FALSE"
"AW761",,"NRAO Staff","National Radio Astronomy Observatory","United States","TRUE"
"AW776",,"Graduate Student","Harvard-Smithsonian Center for Astrophysics","United States","TRUE"
"AY189",,"All Others","Northwestern University","United States","TRUE"
"AY191",,"All Others","Northwestern University","United States","TRUE"
"AY192",,"All Others","Northwestern University","United States","TRUE"
"AY193",,"All Others","Northwestern University","United States","TRUE"
"AY194",,"All Others","Northwestern University","United States","TRUE"
"AZ178",,"All Others","Nanjing University","China","FALSE"
"AZ183",,"All Others","Max-Planck-Institut fur Radioastronomie","Germany","FALSE"
"BA078",,"All Others","Max-Planck-Institut fur Radioastronomie","Germany","FALSE"
"BA084",,"All Others",,"Spain","FALSE"
"BA089",,"All Others",,"Ireland","FALSE"
"BB233",,"All Others","York University","Canada","FALSE"
"BB240",,"All Others","University of California Berkeley","United States","TRUE"
"BB242",,"NRAO Staff","National Radio Astronomy Observatory","United States","TRUE"
"BB255",,"All Others","Max-Planck-Institut fur Radioastronomie","Germany","FALSE"
"BB257",,"All Others","California Institute of Technology","United States","TRUE"
"BB261",,"NRAO Staff","National Radio Astronomy Observatory","United States","TRUE"
"BB262",,"All Others","US Naval Observatory","United States","TRUE"
"BB263",,"Graduate Student","Massachusetts at Amherst, University of","United States","TRUE"
"BB264",,"Graduate Student","California Institute of Technology","United States","TRUE"
"BB267",,"All Others","Nicolaus Copernicus University","Poland","FALSE"
"BB268",,"All Others","Max-Planck-Institut fur Radioastronomie","Germany","FALSE"
"BB269",,"NRAO Staff","National Radio Astronomy Observatory","United States","TRUE"
"BB271",,"Graduate Student","Massachusetts at Amherst, University of","United States","TRUE"
"BB272",,"All Others","Max-Planck-Institut fur Radioastronomie","Germany","FALSE"
"BB273",,"All Others","York University","Canada","FALSE"
"BB276",,"All Others","Nicolaus Copernicus University","Poland","FALSE"
"BB277",,"All Others","Max-Planck-Institut fur Astronomie","Germany","FALSE"
"BC178",,"All Others",,"China","FALSE"
"BC184",,"NRAO Staff","National Radio Astronomy Observatory","United States","TRUE"
"BC185",,"All Others","NASA","United States","TRUE"
"BC186",,"All Others","Sydney, University of","Australia","FALSE"
"BC188",,"All Others","Max-Planck-Institut fur Radioastronomie","Germany","FALSE"
"BD128",,"All Others",,"Spain","FALSE"
"BD137",,"All Others","ISAS/JAXA ","Japan","FALSE"
"BD141",,"All Others","National Radio Astronomy Observatory","United States","TRUE"
"BD142",,"All Others","Geografico Nacional, Instituto","Spain","FALSE"
"BD143",,"All Others","National Radio Astronomy Observatory","United States","TRUE"
"BE055",,"All Others","Australia Telescope National Facility","Australia","FALSE"
"BE056",,"All Others","Durham, University of","United Kingdom","FALSE"
"BF092",,"NRAO Staff","National Radio Astronomy Observatory","United States","TRUE"
"BF094",,"NRAO Staff","National Radio Astronomy Observatory","United States","TRUE"
"BF098",,"NRAO Staff",,"United States","TRUE"
"BF099",,"Graduate Student","Wisconsin at Madison, University of","United States","TRUE"
"BG187",,"Graduate Student","Virginia, University of","United States","TRUE"
"BG189",,"All Others","Australia Telescope National Facility","Australia","FALSE"
"BG192",,"All Others",,"Ireland","FALSE"
"BH152",,"All Others","Denison University","United States","TRUE"
"BH159",,"All Others","Shanghai Astronomical Observatory","China","FALSE"
"BH161",,"All Others",,"United States","TRUE"
"BI036",,"All Others",,"Japan","FALSE"
"BI037",,"All Others",,"Japan","FALSE"
"BJ061",,"All Others","Jet Propulsion Laboratory","United States","TRUE"
"BJ065",,"All Others",,"United States","TRUE"
"BJ067",,"All Others",,"United States","TRUE"
"BJ068",,"All Others","US Naval Observatory","United States","TRUE"
"BJ071",,"All Others",,"United States","TRUE"
"BK145",,"All Others","Max-Planck-Institut fur Radioastronomie","Germany","FALSE"
"BK150",,"All Others","Max-Planck-Institut fur Radioastronomie","Germany","FALSE"
"BK153",,"NRAO Staff","National Radio Astronomy Observatory","United States","TRUE"
"BK154",,"All Others",,"United States","TRUE"
"BK159",,"NRAO Staff","National Radio Astronomy Observatory","United States","TRUE"
"BL149",,"All Others","Purdue University","United States","TRUE"
"BL151",,"All Others","Jet Propulsion Laboratory","United States","TRUE"
"BL155",,"All Others",,"Mexico","FALSE"
"BL160",,"All Others","Universidad Nacional Autonoma de Mexico","Mexico","FALSE"
"BL164",,"All Others","Australia Telescope National Facility","Australia","FALSE"
"BM256",,"All Others","Boston University","United States","TRUE"
"BM257",,"All Others","Harvard-Smithsonian Center for Astrophysics","United States","TRUE"
"BM269",,"All Others",,"Italy","FALSE"
"BM272",,"All Others",,"Germany","FALSE"
"BM284",,"NRAO Staff","National Radio Astronomy Observatory","United States","TRUE"
"BM286",,"All Others",,"Italy","FALSE"
"BM290",,"NRAO Staff",,"United States","TRUE"
"BM291",,"All Others","Universitaet Bochum",,"FALSE"
"BM292",,"All Others","Goddard Space Flight Center","United States","TRUE"
"BM295",,"All Others","National Radio Astronomy Observatory","United States","TRUE"
"BM296",,"All Others","National Radio Astronomy Observatory","United States","TRUE"
"BM303",,"All Others","Boston University",,"FALSE"
"BM303",,"All Others","Boston University","United States","TRUE"
"BM305",,"NRAO Staff","National Radio Astronomy Observatory","United States","TRUE"
"BM306",,"NRAO Staff","National Radio Astronomy Observatory","United States","TRUE"
"BM307",,"All Others","Torun Centre for Astronomy","Poland","FALSE"
"BM308",,"All Others","National Radio Astronomy Observatory","United States","TRUE"
"BM332",,"All Others","Universitaet Bochum","Germany","FALSE"
"BN041",,"All Others",,"Japan","FALSE"
"BO033",,"Graduate Student",,"Ireland","FALSE"
"BO035",,"All Others",,"Spain","FALSE"
"BP143",,"All Others",,"United States","TRUE"
"BP146",,"All Others","CSIRO","Australia","FALSE"
"BP150",,"All Others","University of New Mexico","United States","TRUE"
"BP157",,"Graduate Student","Iowa, University of","United States","TRUE"
"BP159",,"All Others","New Mexico, University of","United States","TRUE"
"BR129",,"All Others",,"United States","TRUE"
"BR130",,"Graduate Student",,"Germany","FALSE"
"BR134",,"All Others","Harvard-Smithsonian Center for Astrophysics","United States","TRUE"
"BR138",,"All Others","Barcelona, Universidad de","Spain","FALSE"
"BR141",,"All Others","Harvard-Smithsonian Center for Astrophysics","United States","TRUE"
"BR148",,"All Others","Jodrell Bank Centre for Astrophysics",,"FALSE"
"BS176",,"All Others",,"United States","TRUE"
"BS192",,"All Others",,"United States","TRUE"
"BS193",,"Graduate Student","Max-Planck-Institut fur Radioastronomie","Germany","FALSE"
"BS194",,"Graduate Student","Max-Planck-Institut fur Radioastronomie","Germany","FALSE"
"BT097",,"Graduate Student","Universidad Nacional Autonoma de Mexico","Mexico","FALSE"
"BT102",,"All Others","Institute of Space and Astronautical Science","Japan","FALSE"
"BV067",,"All Others",,"Germany","FALSE"
"BV069",,"All Others",,"Germany","FALSE"
"BW077",,"NRAO Staff","National Radio Astronomy Observatory","United States","TRUE"
"BW091",,"NRAO Staff","National Radio Astronomy Observatory","United States","TRUE"
"BW092",,"NRAO Staff","National Radio Astronomy Observatory","United States","TRUE"
"BW093",,"NRAO Staff",,"United States","TRUE"
"BY126",,"All Others","Northwestern University","United States","TRUE"
"BY127",,"All Others","Northwestern University","United States","TRUE"
"BZ036",,"All Others",,"China","FALSE"
"BZ039",,"All Others","Nanjing University","China","FALSE"
"C101A",,"All Others","Max-Planck-Institut fuer Radioastronomie","Germany","FALSE"
"CH11300893",,"All Others","Alberta, University of","Canada","FALSE"
"GA024",,"All Others","Instituto de Astrofsica de Andaluca","Spain","FALSE"
"GA15","GBT/08A-048","Graduate Student","New Mexico Institute of Mining and Technology","United States","TRUE"
"GA16","GBT/08A-054","Graduate Student","New Mexico Institute of Mining and Technology","United States","TRUE"
"GA20","GBT/08C-007","Graduate Student","Boston University","United States","TRUE"
"GA21","GBT/08C-075","All Others","New Mexico, University of","United States","TRUE"
"GA23","GBT/09A-002","Graduate Student","Boston University","United States","TRUE"
"GA26","GBT/09A-085","All Others","Pennsylvania, University of","United States","TRUE"
"GA27",,,,"Canada","FALSE"
"GA28","GBT/09B-002","Graduate Student","Boston University","United States","TRUE"
"GA29","GBT/09B-013","Graduate Student","Universitat Bonn","Germany","FALSE"
"GA30","GBT/09B-015","Graduate Student","Consejo Superior de Investigaciones","Spain","FALSE"
"GA31","GBT/09B-032","Graduate Student","McGill University","Canada","FALSE"
"GA34","GBT/09A-098","All Others","Universities Space Research Association","United States","TRUE"
"GB060",,"All Others","Max-Planck-Institut fur Radioastronomie","Germany","FALSE"
"GB065",,"All Others","Max-Planck-Institut fur Radioastronomie","Germany","FALSE"
"GB067",,"All Others","Hartebeesthoek","South Africa","FALSE"
"GB070",,"All Others",,"Canada","FALSE"
"GB071",,"All Others",,"Germany","FALSE"
"GB24","GBT/05C-035","All Others","National Radio Astronomy Observatory","United States","TRUE"
"GB32","GBT/07A-001","All Others","California at Berkeley, University of","United States","TRUE"
"GB35","GBT/07A-034","NRAO Staff","National Radio Astronomy Observatory","United States","TRUE"
"GB37","GBT/07A-066","NRAO Staff","National Radio Astronomy Observatory","United States","TRUE"
"GB39","GBT/07A-086","All Others","Michigan at Ann Arbor, University of","United States","TRUE"
"GB48","GBT/07C-030","All Others","Michigan at Ann Arbor, University of","United States","TRUE"
"GB49","GBT/07C-032","All Others","Harvard-Smithsonian Center for Astrophysics","United States","TRUE"
"GB51","GBT/07C-040","All Others","Bristol, University of","United Kingdom","FALSE"
"GB54","GBT/07C-051","All Others","National Radio Astronomy Observatory","United States","TRUE"
"GB57","GBT/08A-006","All Others","Boston University","United States","TRUE"
"GB65","GBT/08B-033","Graduate Student","West Virginia University","United States","TRUE"
"GB70","GBT/08C-035","NRAO Staff","National Radio Astronomy Observatory","United States","TRUE"
"GB73","GBT/08C-059","Graduate Student","Laval University","Canada","FALSE"
"GB74","GBT/08C-079","Graduate Student","Carnegie Mellon University","United States","TRUE"
"GB75","GBT/08B-045","Graduate Student","West Virginia University","United States","TRUE"
"GB77","GBT/08B-049","NRAO Staff","National Radio Astronomy Observatory","United States","TRUE"
"GB79","GBT/09A-022","All Others","University of Bristol, Astrophysics Group","United States","TRUE"
"GB80","GBT/09A-070","NRAO Staff","National Radio Astronomy Observatory","United States","TRUE"
"GB82","GBT/09A-073","Graduate Student","West Virginia University","United States","TRUE"
"GB86","GBT/09B-001","All Others","Boston University","United States","TRUE"
"GC027",,"All Others","Central Lancashire","United Kingdom","FALSE"
"GC031",,"All Others","Onsala","Sweden","FALSE"
"GC034",,"All Others",,"France","FALSE"
